GID_2,within_april_mean_over_december,temp,spechum,Population,sqkm,crowding30s,crowding2point5m,crowding15m,crowding30m,crowd1d,density
ITA.5.1_1,,49.1573579633056,0.00497392313178774,430484.48295666,2788.22812090142,1267.90791305246,9583.97517482636,123468.754541243,318426.671354491,645691.907972522,154.393566196975
ITA.5.2_1,,50.2103395775517,0.00517747221345174,283986.186650954,2071.84910935286,1202.15185056832,10838.3470650722,82619.4851228748,259452.795195031,NA,137.068952255725
ITA.5.3_1,,52.4555976333642,0.00581606870546764,971302.621143855,2643.85532370773,3064.08912329541,31137.9497700364,228050.409726795,317979.717871094,NA,367.381154495892
ITA.5.4_1,,56.2290331097749,0.00634815314655057,3025403.6567765,1187.79373730402,6122.76335706723,83593.9986779011,1413328.01155994,1815513.74795104,NA,2547.07830304222
ITA.5.5_1,,52.8171814292322,0.00583994766769424,1093507.29747717,4942.41086123427,2637.74551877228,21033.5650255123,239320.945654879,533513.238849457,1339458.67288967,221.249776309388
ITA.6.1_1,,51.2744981498612,0.00485991158818696,1038977.97690892,3703.46931562973,2803.11816281412,35403.5609817141,266033.155333375,602915.179155485,1550414.87404931,280.541807791989
ITA.6.2_1,,51.9502162349676,0.00505596457541319,363869.878701053,2623.65832806953,1318.38463847329,10924.4965845987,78989.3441568463,212735.596122751,497499.65711744,138.687981894649
ITA.6.3_1,,50.2309622648782,0.00481669007851876,423981.221401637,2374.022920534,1570.54667763601,17640.8390408778,141059.746353203,246424.359693286,NA,178.591882047318
ITA.6.4_1,,51.8192244835029,0.00477390656302271,739110.538643398,2687.13725132282,2010.95928300902,19807.0559121071,211971.861087406,382960.503915533,NA,275.055000737141
ITA.6.5_1,,50.8132820690718,0.00478054036160961,463510.803037201,3448.71884440505,1857.40118376336,18513.1455273107,127998.629248698,466589.493795558,662344.802223061,134.400867089867
ITA.6.6_1,,49.1134244912118,0.004451600947962,307132.91375222,2586.90518589525,2024.97745761308,19130.531845549,100161.119493026,187449.657137721,NA,118.72600334439
ITA.6.7_1,,52.4485530373111,0.00513782956770972,419571.250539568,1852.36434810815,1674.7651489637,16300.1470323793,98981.9921695094,246652.318354784,NA,226.505790271813
ITA.6.8_1,,51.2975601295097,0.00468358096363434,586262.005363318,2291.31091062129,1540.34840341005,15339.4954513151,157036.735825029,299478.237255834,NA,255.863140460651
ITA.6.9_1,,52.0686467005859,0.00538991782951605,333121.857454186,531.712164289807,1978.33260686034,20621.9673561011,170011.024550167,NA,NA,626.507873670951
ITA.7.1_1,,49.5892611008326,0.00505893698769252,155399.514763753,456.133260683118,1425.15506995133,14902.1845070894,86497.8266722929,NA,NA,340.688847226405
ITA.7.2_1,,49.8652991057663,0.00453482777148388,335444.676240033,2272.63160851653,903.464919817986,8309.65820742897,91583.3284296911,169588.086815212,NA,147.601870440848
ITA.7.3_1,,48.7611391843972,0.00473330429653288,225490.769691628,252.516261935164,4978.02051382412,62106.5806894025,310729.236434352,NA,NA,892.975240341252
ITA.7.4_1,,50.1461368717237,0.00456820167249203,551711.741324565,4821.08101654977,865.256369415671,9551.0832623338,103835.74219975,343461.871779025,796758.605797426,114.437351173036
ITA.8.1_1,,52.4523404255319,0.00560035121564551,501459.547208098,3239.63810087334,753.843316649427,7672.5022688751,96910.4498347333,249049.869492113,752093.955449187,154.788754667663
ITA.8.2_1,,55.4804681236509,0.00653014211017124,588753.857797739,2264.26748930724,1927.95578957314,11798.0308004687,87562.5358357391,251602.34334117,576970.945773355,260.019569497891
ITA.8.3_1,,49.9789222941721,0.00474919255326916,161901.791283902,2744.30955150658,821.301601012049,5062.41303144627,45517.8961454578,85096.6127676559,NA,58.9954552302677
ITA.8.4_1,,54.5229787234043,0.00602590870341172,4300019.39186883,5370.31597361519,4995.41733638032,67935.0528977808,963383.815757884,2265472.58437063,4839165.0811474,800.701376417176
ITA.8.5_1,,52.038484235276,0.00550574146145113,338193.411932147,3615.07531675053,1323.79938498503,6466.35957828075,58852.1904575681,126129.809466641,504546.484213673,93.5508619599488
ITA.9.1_1,,48.189491982732,0.00475605599792459,817929.919078096,1850.00163473398,5056.88972510707,54603.7137293915,245575.087419919,675378.50812806,NA,442.123889904406
ITA.9.2_1,,48.8332653021893,0.00453094865663582,211933.392248099,1163.81129097464,2024.53011129259,12707.1049516831,62453.2503431018,166304.119556555,NA,182.102883767878
ITA.9.3_1,,53.7769850447117,0.00587720236177401,221188.670825644,892.818459597975,2450.40722722774,17828.1521364352,153788.68573514,225895.670493072,NA,247.742044810815
ITA.9.4_1,,48.8089955288313,0.00489940430276641,280772.255460282,1548.62417323806,1962.04429372088,11564.4754489068,60938.2177236203,178198.050568806,NA,181.30432180534
